Year,Name,Award,Level,Team,Position,Sport
2003,Katy Bowen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Foward,Basketball
2025,Sara Booher,ELITE 20 WINNER,MIDWEST CONFERENCE,,,Basketball
2007,Sarah Spencer,All-America,NATIONAL,,,Cross Country
2006,Sarah Spencer,All-America,NATIONAL,,,Cross Country
2021,Emma Schaefer,NCAA Qualifier,NATIONAL,,,Cross Country
2012,Sarah Burnell,NCAA Qualifier,NATIONAL,,,Cross Country
2013,Sarah Burnell,NCAA Qualifier,NATIONAL,,,Cross Country
2011,Stephanie Rouse,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Sarah Spencer,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Sarah Spencer,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Allison Louthan,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Sara Brady,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Katie Ryan,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Allison Louthan,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Becky Bessinger,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Erin Sindewald,NCAA Qualifier,NATIONAL,,,Cross Country
2006,Meredith Groves,NCAA Qualifier,NATIONAL,,,Cross Country
2012,Stephanie Rouse,NCAA Qualifier,NATIONAL,,,Cross Country
2023,Morgan Karow,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2023,Keely Miyamoto,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2023,Hannah Roark,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2022,Keely Miyamoto,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2021,Emma Schaefer,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2019,Ally Cottrell,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2018,Mikayla Fujiwara,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2016,Emma Zimmerman,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2015,Emma Luhmann,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2015,Emma Zimmerman,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2014,Emma Luhmann,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2014,Alosha Southern,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2013,Sarah Burnell,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2013,Diana Seer,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2012,Sarah Burnell,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2007,Becky Bessinger,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2007,Allison Louthan,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2007,Sarah Spencer,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2006,Becky Bessinger,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2006,Sara Brady,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2006,Meredith Groves,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2006,Allison Louthan,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2006,Katie Ryan,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2006,Sarah Spencer,USTFCCCA All-Academic,NATIONAL,,,Cross Country
2024,Morgan Karow,All-Region,REGION,,,Cross Country
2023,Keely Miyamoto,All-Region,REGION,,,Cross Country
2021,Emma Schaefer,All-Region,REGION,,,Cross Country
2019,Mikayla Fujiwara,All-Region,REGION,,,Cross Country
2018,Mikayla Fujiwara,All-Region,REGION,,,Cross Country
2017,Emma Zimmerman,All-Region,REGION,,,Cross Country
2016,Emma Luhmann,All-Region,REGION,,,Cross Country
2016,Emma Zimmerman,All-Region,REGION,,,Cross Country
2015,Emma Luhmann,All-Region,REGION,,,Cross Country
2014,Alosha Southern,All-Region,REGION,,,Cross Country
2013,Sarah Burnell,All-Region,REGION,,,Cross Country
2013,Diana Seer,All-Region,REGION,,,Cross Country
2012,Sarah Burnell,All-Region,REGION,,,Cross Country
2012,Stephanie Rouse,All-Region,REGION,,,Cross Country
2011,Stephanie Rouse,All-Region,REGION,,,Cross Country
2007,Sarah Spencer,All-Region,REGION,,,Cross Country
2007,Allison Louthan,All-Region,REGION,,,Cross Country
2007,Becky Bessinger,All-Region,REGION,,,Cross Country
2006,Sarah Spencer,All-Region,REGION,,,Cross Country
2006,Sara Brady,All-Region,REGION,,,Cross Country
2006,Katie Ryan,All-Region,REGION,,,Cross Country
2006,Allison Louthan,All-Region,REGION,,,Cross Country
2006,Becky Bessinger,All-Region,REGION,,,Cross Country
2006,Meredith Groves,All-Region,REGION,,,Cross Country
2004,Meredith Groves,All-Region,REGION,,,Cross Country
2003,Erin Booth,All-Region,REGION,,,Cross Country
2006,Evelyn Freeman,Coach of the Year,REGION,,,Cross Country
2024,Keely Miyamoto,CoSIDA Academic All-District,REGION,,,Cross Country
2024,Morgan Karow,CoSIDA Academic All-District,REGION,,,Cross Country
2023,Mira Diamond-Berman,CoSIDA Academic All-District,REGION,,,Cross Country
2023,Emma Schaefer,CoSIDA Academic All-District,REGION,,,Cross Country
2023,Keely Miyamoto,MWC Individual Champions,MIDWEST CONFERENCE,,,Cross Country
2013,Sarah Burnell,MWC Individual Champions,MIDWEST CONFERENCE,,,Cross Country
2012,Sarah Burnell,MWC Individual Champions,MIDWEST CONFERENCE,,,Cross Country
2007,Sarah Spencer,MWC Individual Champions,MIDWEST CONFERENCE,,,Cross Country
2006,Sarah Spencer,MWC Individual Champions,MIDWEST CONFERENCE,,,Cross Country
2022,Keely Miyamoto,Newcomer of the Year,MIDWEST CONFERENCE,,,Cross Country
2022,Mira Diamond-Berman,Elite 20 Award,MIDWEST CONFERENCE,,,Cross Country
2019,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2014,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2013,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2011,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2009,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2006,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2005,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2004,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Cross Country
2024,Morgan Karow,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2024,Hannah Roark,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2024,Genevieve Madigan,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2024,Hannah Roth,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2024,Crystal Kaczmarczyk,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2024,Emma Wharton-Hsieh,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2024,Tennyson Shultz,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2023,Keely Miyamoto,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2023,Morgan Karow,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2023,Talia Harrison,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2023,Hannah Roark,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2023,Crystal Kaczmarczyk,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Keely Miyamoto,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Hannah Roark,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Talia Harrison,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Emma Schaefer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Sarah Torrence,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Megan LeBlanc,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Diana Barba,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2022,Mira Diamond-Berman,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2021,Emma Schaefer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2021,Sarah Torrence,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2021,Crys Kaczmarczyk,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2021,Megan LeBlanc,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2019,Mikayla Fujiwara,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2019,Ally Cottrell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2019,Emma Schaefer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2019,Madeleine Breunig,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2019,Tori LaVerdiere,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2018,Mikayla Fujiwara,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2018,Ally Cottrell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2018,Tori LaVerdiere,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2017,Emma Zimmerman,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2017,Anna Ahrens,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2017,Mikayla Fujiwara,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2016,Emma Zimmerman,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2016,Emma Luhmann,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2016,Anna Ahrens,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2016,Tori LaVerdiere,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2015,Emma Zimmerman,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2015,Paulina Campbell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2015,Emma Luhmann,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2014,Alosha Southern,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2014,Paulina Campbell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2014,Diana Seer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2014,Emma Luhmann,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2014,Clare Roberts,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2013,Sarah Burnell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2013,Diana Seer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2013,Alosha Southern,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2013,Paulina Campbell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2012,Sarah Burnell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2012,Stephanie Rouse,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2012,Diana Seer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2011,Sarah Burnell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2011,Hannah Colter,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2011,Stephanie Rouse,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2011,Meg Rudy,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2011,Cassidy White,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2010,Hannah Colter,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2010,Sarah Burnell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2010,Leah Russell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2009,Leah Russell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2009,Hannah Colter,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2009,Maja Gamble,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2009,Rachel Whitfield,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2008,Leah Russell,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2008,Maja Gamble,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2008,Sachi Graber,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2008,Hannah Colter,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2007,Sarah Spencer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2007,Allison Louthan,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2007,Becky Bessinger,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2007,Maja Gamble,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2007,Elizabeth Jach,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Sarah Spencer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Sara Brady,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Allison Louthan,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Katie Ryan,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Becky Bessinger,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Erin Sindewald,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Meredith Groves,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Erin Booth,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2006,Rachel Whitfield,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2005,Katie Ryan,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2005,Sara Brady,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2005,Erin Booth,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2005,Meredith Groves,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2005,Erin Sindewald,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2005,Lola Garcia,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2004,Sarah Spencer,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2004,Meredith Groves,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2004,Katie Ryan,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2004,Lola Garcia,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2004,Erin Sindewald,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2004,Erin Booth,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2003,Stephanie Meleady,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2003,Erin Booth,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2003,Paige Wheeler,All-Conference,MIDWEST CONFERENCE,,,Cross Country
2005,Rachel Moskowitz,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-AMERICA®,NATIONAL,1st Team,Forward,Soccer
2024,Giada Bambi,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION,3rd Team,Defender,Soccer
2022,Jane March,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION,2nd Team,Defender,Soccer
2016,Carolyn Silverman,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION,3rd Team,Forward,Soccer
2014,Katy Oldach,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION,2nd Team,Goal Keeper,Soccer
2012,Nicole Sipfle,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION,2nd Team,Midfielder,Soccer
2010,Frances Leslie,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION,Hon. Mention,Forward,Soccer
2024,Giada Bambi,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2024,Maddie Beltramo,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2024,Peyton Dixon,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2024,Reese Komsthoeft,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2024,Tori Thomas,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2024,Sarah Travis,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2023,Giada Bambi,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2023,Maddie Beltramo,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2023,Tali Berk,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2023,Reese Komsthoeft,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2023,Jane March,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2023,Allison Wehrman,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Soccer
2022,Elinor Arneson,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Goal Keeper,Soccer
2022,Antarah Chopra,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Defender,Soccer
2022,Jane March,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Defender,Soccer
2022,Maddie Beltramo,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Defender,Soccer
2022,Keiko Smith,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Forward,Soccer
2008,Becca Mackenzie,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Defender,Soccer
2005,Rachel Moskowitz,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Forward,Soccer
2003,Rachel Moskowitz,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,2nd Team,Forward,Soccer
2004,Sarah Evans,OFFENSIVE PLAYER OF THE YEAR,MIDWEST CONFERENCE,,Forward,Soccer
2006,Rebecca Mackenzie,DEFENSIVE PLAYER OF THE YEAR,MIDWEST CONFERENCE,,Defender,Soccer
2024,Giada Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Field Player,Soccer
2024,Maddie Beltramo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Field Player,Soccer
2023,Giada Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Field Player,Soccer
2023,Jane March,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Field Player,Soccer
2023,Maddie Beltramo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Field Player,Soccer
2023,Peyton Dixon,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Goal Keeper,Soccer
2023,Sarah Travis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Field Player,Soccer
2022,Anatarah Chopra,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Defender,Soccer
2022,Giada Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
2022,Jane March,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder/Defender,Soccer
2022,Keiko Smith,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Soccer
2022,Tori Thomas,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Soccer
2021,Giada Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
2019,Valencia Alvarez,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2019,Lauren Edwards,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2019,Simo Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Soccer
2018,Gwen Holtzman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
2018,Jordan Maddaus,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2018,Valencia Alvarez,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Soccer
2018,Elizabeth Hunt,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Goal Keeper,Soccer
2017,Valencia Alvarez,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2017,Lauren Edwards,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Defender,Soccer
2017,Francesca Varias,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Midfielder,Soccer
2016,Nora Sahel,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
2016,Carolyn Silverman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2016,Lauren Edwards,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2016,Annika Halverson,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2015,Katy Oldach,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Goal Keeper,Soccer
2015,Nora Bresette Buccino,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2014,Andie Semlow,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Defender,Soccer
2014,Katy Oldach,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Goal Keeper,Soccer
2014,Carolyn Silverman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Soccer
2014,Elle Silverman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Midfielder,Soccer
2013,Elle Silverman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Defender,Soccer
2013,Claire Ruegg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2013,Katy Oldach,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Goal Keeper,Soccer
2013,Eva Smith,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,Hon. Mention,Forward,Soccer
2012,Nicole Sipfle,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
